userId,userName,debutYear,firstPostTime,firstTitle,firstContentId,latestPostTime,latestTitle,latestContentId,isActiveRecent1Year
70167835,ごみくず,2019,2019-07-25 02:18:02,GSR400と行く！ばいくしょしんしゃツーリング記録（初めてのソロキャン）,sm35445353,2025-07-18 02:00:05,【VOICEROID車載】夏なので暑いけど頑張って向日葵見に行ってきたお話【シンプル車載動画投稿祭2025】,sm45197688,False
70426828,雪国ゴリラ,2022,2022-04-04 20:45:02,マキさんの道東ダイアリー part０OP,sm40274128,2024-03-24 18:29:08,バイクで日本一周やるよーって動画【VOICEROID車載】,sm43570405,False
70605639,みけん,2017,2017-08-25 23:15:07,【ＺＺＲ４００】のうしゃ初体験【Cevio車載】,sm31809686,2017-08-29 19:35:09,【ＺＺＲ４００】房総暴走編part1【Cevio車載】,sm31831706,False
70747461,まんば,2018,2018-02-27 14:38:11,琴葉姉妹の８６と行く日本全国ドライブ日誌　０日目,sm32803482,2026-08-07 00:53:17,【ソフトウェアトーク車載】86で地元の温泉に行ってみた,sm46634905,True
70753841,ノーチ,2025,2025-08-20 19:02:00,ドタバタ青春北海道家族旅行！【CeVIO車載】,sm45311527,2025-08-20 19:02:00,ドタバタ青春北海道家族旅行！【CeVIO車載】,sm45311527,True
71063035,伊丹,2023,2023-10-13 00:00:00,【日帰り旅行祭/自転車動画祭】県北の川の土手でサイクリングするのは気が狂う程気持ちええんじゃ,sm42878388,2024-10-18 18:00:00,【日帰り旅行祭2024】県南を走るのはもうハンパなく楽しい,sm44226942,False
71174394,ずん車,2022,2022-09-18 11:56:02,ずんだもんとレクサス紹介　,sm41096739,2022-10-18 23:34:02,【極悪燃費】レクサス5時間アイドリングだけでどれだけガソリン使うの？【ずんだもん検証】,sm41250991,False
71272600,mac,2017,2017-10-03 23:20:12,【東北ずん子】道の駅 季楽里あさひ編【GSX250R】,sm32039604,2019-12-08 15:53:02,【東北ずん子】スムースでイこう！！ Vol1 納車編,sm36058639,False
71506833,ぐれ。,2019,2019-09-30 00:32:01,【テスト動画】カブで、ちょっとお出掛け,sm35750011,2024-10-22 04:00:00,名古屋発、日帰り、乗鞍旅！【日帰り旅行祭2024】※遅刻組,sm44240466,False
71687482,RED,2026,2026-05-24 22:30:04,【VOICEVOX車載動画】慣らし運転、関西ツーリング！【GSX-8TT】,sm46352326,2026-07-15 22:49:49,【VOICEVOX車載動画】日本酒のみに新潟まで行くぞ！,sm46552825,True
71739705,越後スワロー,2022,2022-02-25 19:00:00,[地元紹介祭]　皆で学ぼう　柏崎市,sm40091114,2022-02-25 19:00:00,[地元紹介祭]　皆で学ぼう　柏崎市,sm40091114,False
71739842,秋月,2025,2025-04-06 19:00:00,【東北きりたん車載】変態機動、少女を添えて　Part1 前編,sm44850584,2026-07-09 17:00:00,【投稿祭告知】長崎投稿祭を開催します,sm46528593,True
72124103,山っ子,2017,2017-11-26 11:40:12,【R-3と行くまったりツーリング】①～友人Mと行く紅葉巡りツアー,sm32326219,2017-11-26 11:40:12,【R-3と行くまったりツーリング】①～友人Mと行く紅葉巡りツアー,sm32326219,False
72164249,釣りまっする,2025,2025-07-13 23:13:03,琴葉姉妹と行くまっする旅行編in琵琶湖博物館,sm45185005,2025-07-13 23:13:03,琴葉姉妹と行くまっする旅行編in琵琶湖博物館,sm45185005,False
72266326,赤道ただし,2024,2024-08-30 20:02:04,【シンプル車載動画投稿祭】たんき旅　part.0　伊勢志摩スカイライン,sm44042264,2025-07-18 20:00:00,【シンプル車載動画投稿祭】夜語トバリとカブでかき氷食べに行く,sm45197638,False
72357792,道北きりたん,2023,2023-06-04 19:21:03,道北きりたんのバイク車載動画 テストその１,sm42310865,2023-12-20 18:00:00,道北きりたんのおバイク車載動画 - 道の駅スタンプラリー編その６【湧別・佐呂間】,sm43167759,False
72601077,這泥(ハイド),2023,2023-08-21 19:40:05,ゆづきず実況 福島ツーリング,sm42654663,2023-08-21 19:40:05,ゆづきず実況 福島ツーリング,sm42654663,False
